의도(Intent),개체명(NER),질문(Query),답변(Answer),답변 이미지
가입방법,B_OG,ccc 모집대상 알려줘,CCC 모집대상은 전학우입니다.,
가입방법,B_OG,jdm 모집대상 알려줘,JDM 모집대상은 전학우입니다.,
가입방법,B_OG,EGO 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,ost 모집대상 알려줘,OST 모집대상은 전학우입니다.,
가입방법,B_OG,ego 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,에고 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,Tagthebills 모집대상 알려줘,Tag the bills 모집대상은 전학우입니다.,
가입방법,B_OG,tagthebills 모집대상 알려줘,Tag the bills 모집대상은 전학우입니다.,
가입방법,B_OG,스핀 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,SPIN 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,spin 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,페르마타 모집대상 알려줘,"페르마타 모집대상은 강릉원주대학교 원주캠퍼스 신입생 및 재학생입니다. 모집분야는 <보컬, 기타(어쿠스틱/클래식/일렉/베이스), 건반, 카혼, 젬베 + 기타 입문자>입니다.",
가입방법,B_OG,뉴를리 모집대상 알려줘,뉴를리 모집대상은 강릉원주대학교 원주캠퍼스 전학년 여학우입니다.,
가입방법,B_OG,프레이즈 모집대상 알려줘,"프레이즈 모집대상은 밴드에 관심있는 강릉원주대학교 원주캠퍼스 학생입니다. 모집분야는 <보컬, 기타, 베이스, 드럼, 건반 등>입니다.",
가입방법,B_OG,루시우스 모집대상 알려줘,루시우스 모집대상은 성별무관 강릉원주대 원주캠퍼스 재학생입니다.,
가입방법,B_OG,Tag the bills 모집대상 알려줘,Tag the bills 모집대상은 전학우입니다.,
가입방법,B_OG,해시태그 모집대상 알려줘,해시태그 모집대상은 사진찍기를 좋아하거나 관심있는 모든 학우들입니다,
가입방법,B_OG,보드홀릭 모집대상 알려줘,보드홀릭 모집대상은 재학생 누구나입니다.,
가입방법,B_OG,팔레트 모집대상 알려줘,팔레트 모집대상은 전학우입니다.,
가입방법,B_OG,핀액션 모집대상 알려줘,핀액션 모집대상은 실력에 상관 없이 볼링에 관심 있는 사람입니다.,
가입방법,B_OG,에이스 모집대상 알려줘,에이스 모집대상은 전학우입니다.,
가입방법,B_OG,스핀 SPIN 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,RCY 모집대상 알려줘,RCY 모집대상은 전학우입니다.,
가입방법,B_OG,rcy 모집대상 알려줘,RCY 모집대상은 전학우입니다.,
가입방법,B_OG,게임 개발 동아리 모집대상 알려줘,"게임 개발 동아리 모집대상은 <아트(3D, 픽셀아트, 일러스트), 프로그래머>입니다.",
가입방법,B_OG,게임개발동아리 모집대상 알려줘,"게임 개발 동아리 모집대상은 <아트(3D, 픽셀아트, 일러스트), 프로그래머>입니다.",
가입방법,,동아리 들어가는법,동아리 가입방법에 대해서는 매년 에브리타임에 공지되거나 포스터를 통해 확인하실 수 있습니다. 어떤 동아리에 가입하고 싶으신가요?,
위치,B_OG,ccc 동아리방 위치 알려줘,CCC 동아리방 위치는 W11 학생복지관 219호 입니다.,
위치,B_OG,jdm 동아리방 위치 알려줘,JDM 동아리방 위치는 W11 학생복지관 216호 입니다.,
위치,B_OG,EGO 동아리방 위치 알려줘,E.G.O 동아리방 위치는 W11 학생복지관 226호 입니다.,
위치,B_OG,ost 동아리방 위치 알려줘,OST 동아리방 위치는 W11 학생복지관 209호 입니다.,
위치,B_OG,ego 동아리방 위치 알려줘,E.G.O 동아리방 위치는 W11 학생복지관 226호 입니다.,
위치,B_OG,에고 동아리방 위치 알려줘,E.G.O 동아리방 위치는 W11 학생복지관 226호 입니다.,
위치,B_OG,Tagthebills 동아리방 위치 알려줘,Tag the bills는 대여동아리방을 사용합니다.,
위치,B_OG,tagthebills 동아리방 위치 알려줘,Tag the bills는 대여동아리방을 사용합니다.,
위치,B_OG,스핀 동아리방 위치 알려줘,스핀 SPIN 동아리방 위치는 W11 학생복지관 212호 입니다.,
위치,B_OG,SPIN 동아리방 위치 알려줘,스핀 SPIN 동아리방 위치는 W11 학생복지관 212호 입니다.,
위치,B_OG,spin 동아리방 위치 알려줘,스핀 SPIN 동아리방 위치는 W11 학생복지관 212호 입니다.,
위치,B_OG,rcy 동아리방 위치 알려줘,RCY 동아리방 위치는 W11 학생복지관 208호 입니다.,
위치,B_OG,CCC 동아리방 위치 알려줘,CCC 동아리방 위치는 W11 학생복지관 219호 입니다.,
위치,B_OG,JDM 동아리방 위치 알려줘,JDM 동아리방 위치는 W11 학생복지관 216호 입니다.,
위치,B_OG,E.G.O 동아리방 위치 알려줘,E.G.O 동아리방 위치는 W11 학생복지관 226호 입니다.,
위치,B_OG,OST 동아리방 위치 알려줘,OST 동아리방 위치는 W11 학생복지관 209호 입니다.,
위치,B_OG,페르마타 동아리방 위치 알려줘,페르마타 동아리방 위치는 W11 학생복지관 228호 입니다.,
위치,B_OG,뉴를리 동아리방 위치 알려줘,뉴를리는 대여동아리방을 사용합니다.,
위치,B_OG,프레이즈 동아리방 위치 알려줘,프레이즈 동아리방 위치는 W11 학생복지관 229호 입니다.,
위치,B_OG,루시우스 동아리방 위치 알려줘,루시우스 동아리방 위치는 W11 학생복지관 227호 입니다.,
위치,B_OG,Tag the bills 동아리방 위치 알려줘,Tag the bills는 대여동아리방을 사용합니다.,
위치,B_OG,해시태그 동아리방 위치 알려줘,해시태그 동아리방 위치는 W11 학생복지관 215호 입니다.,
위치,B_OG,보드홀릭 동아리방 위치 알려줘,보드홀릭은 대여동아리방을 사용합니다.,
위치,B_OG,팔레트 동아리방 위치 알려줘,팔레트 동아리방 위치는 W11 학생복지관 214호 입니다.,
위치,B_OG,핀액션 동아리방 위치 알려줘,핀액션은 대여동아리방을 사용합니다.,
위치,B_OG,에이스 동아리방 위치 알려줘,에이스 동아리방 위치는 W11 학생복지관 217호 입니다.,
위치,B_OG,스핀 SPIN 동아리방 위치 알려줘,스핀 SPIN 동아리방 위치는 W11 학생복지관 212호 입니다.,
위치,B_OG,RCY 동아리방 위치 알려줘,RCY 동아리방 위치는 W11 학생복지관 208호 입니다.,
위치,B_OG,게임 개발 동아리 동아리방 위치 알려줘,게임 개발 동아리는 대여동아리방을 사용합니다.,
위치,B_OG,깜냥깜냥 동아리방 위치 알려줘,취업동아리는 동아리방이 없습니다.,
활동,B_OG,ccc 활동내용 알려줘,"""CCC는 다음과 같은 활동을 합니다.  1. 순모임 : 1:1로 선배 멘토와 함께 매주 즐거운 성경 공부와 여러 가지 개인적인 일, 학교 생활 등에 대한 이야기를 나눕니다.  2. 캠퍼스 모임 : 학교에 있는 CCC 선배들과 함께하는 동아리 모임으로, 매주 월요일 18:50분에 동아리방에서 진행됩니다. 찬양과 말씀, 그리고 게임과 나눔 등 풍성한 시간들이 기다리고 있어요!   3. 지구 채플 : CCC는 강릉원주대학교 뿐만 아니라 원주에 있는 7개의 대학교(강릉원주대, 경동대, 상지대, 송호대, 연세대, 연세의대, 한라대)에도 있다는 사실! 알고 계셨나요? 7개의 대학교에서 활동하고 있는 C맨들과 한 자리에 모여 함께 예배하고 나누며 교제하는 시간입니다.  4. 아침기도회 :  매주 월화수목 아침 8시에 동아리방에 함께 모여 진행하는 큐티모임입니다. 매일 아침 말씀으로 하루를 시작하고 풍성한 은혜를 누릴 수 있답니다!""",
활동,B_OG,jdm 활동내용 알려줘,"""현재 JDM은 Q.T, 기도회, 소그룹 등 다양한 활동을 진행하고 있습니다 또한 원주 안에 있는 다른 캠퍼스(연세대학교 미래캠퍼스, 상지대학교, 한라대학교)와 연합하여 JDM 원주지구로서 화요집회, 여름/겨울 집회, 비전트립 등의 활동도 하며, 한 해를 가득가득 채워나가고 있답니다.""",
활동,B_OG,EGO 활동내용 알려줘,E.G.O 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,ost 활동내용 알려줘,OST 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,ego 활동내용 알려줘,E.G.O 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,에고 활동내용 알려줘,E.G.O 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,Tagthebills 활동내용 알려줘,Tag the bills 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,tagthebills 활동내용 알려줘,Tag the bills 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,스핀 활동내용 알려줘,"""스핀 SPIN 활동은 5:5 3:3 경기와 타대학 농구동아리들과 교류전, 기본기 연습 등을 진행합니다. 대학교 동아리 대회도 참여하고 있습니다.""",
활동,B_OG,SPIN 활동내용 알려줘,"""스핀 SPIN 활동은 5:5 3:3 경기와 타대학 농구동아리들과 교류전, 기본기 연습 등을 진행합니다. 대학교 동아리 대회도 참여하고 있습니다.""",
활동,B_OG,spin 활동내용 알려줘,"""스핀 SPIN 활동은 5:5 3:3 경기와 타대학 농구동아리들과 교류전, 기본기 연습 등을 진행합니다. 대학교 동아리 대회도 참여하고 있습니다.""",
활동,B_OG,rcy 활동내용 알려줘,"""RCY는 부원분들의 의견을 최대한 반영하여 운영되어질 예정입니다. RCY에서 봉사활동을 하며 봉사 시간도 얻고 뜻깊은 경험과 좋은 인연도 얻어가세요. RCY 모집 공고는 매년 강릉원주대학교 에브리타임에서 공지되고 있습니다.""",
활동,B_OG,게임개발동아리 활동내용 알려줘,게임 개발 동아리는 게임을 개발하고 출시합니다.,
활동,B_OG,CCC 활동내용 알려줘,"""CCC는 다음과 같은 활동을 합니다.  1. 순모임 : 1:1로 선배 멘토와 함께 매주 즐거운 성경 공부와 여러 가지 개인적인 일, 학교 생활 등에 대한 이야기를 나눕니다.  2. 캠퍼스 모임 : 학교에 있는 CCC 선배들과 함께하는 동아리 모임으로, 매주 월요일 18:50분에 동아리방에서 진행됩니다. 찬양과 말씀, 그리고 게임과 나눔 등 풍성한 시간들이 기다리고 있어요!   3. 지구 채플 : CCC는 강릉원주대학교 뿐만 아니라 원주에 있는 7개의 대학교(강릉원주대, 경동대, 상지대, 송호대, 연세대, 연세의대, 한라대)에도 있다는 사실! 알고 계셨나요? 7개의 대학교에서 활동하고 있는 C맨들과 한 자리에 모여 함께 예배하고 나누며 교제하는 시간입니다.  4. 아침기도회 :  매주 월화수목 아침 8시에 동아리방에 함께 모여 진행하는 큐티모임입니다. 매일 아침 말씀으로 하루를 시작하고 풍성한 은혜를 누릴 수 있답니다!""",
활동,B_OG,JDM 활동내용 알려줘,"""현재 JDM은 Q.T, 기도회, 소그룹 등 다양한 활동을 진행하고 있습니다 또한 원주 안에 있는 다른 캠퍼스(연세대학교 미래캠퍼스, 상지대학교, 한라대학교)와 연합하여 JDM 원주지구로서 화요집회, 여름/겨울 집회, 비전트립 등의 활동도 하며, 한 해를 가득가득 채워나가고 있답니다.""",
활동,B_OG,E.G.O 활동내용 알려줘,E.G.O 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,OST 활동내용 알려줘,OST 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,페르마타 활동내용 알려줘,페르마타 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,뉴를리 활동내용 알려줘,뉴를리 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,프레이즈 활동내용 알려줘,프레이즈 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,루시우스 활동내용 알려줘,루시우스 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,Tag the bills 활동내용 알려줘,Tag the bills 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,해시태그 활동내용 알려줘,해시태그 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,보드홀릭 활동내용 알려줘,"""보드홀릭은 정기적으로 동아리방을 대여하여 부원들이 보드게임을 하고 있고, 동아리 내에서 보드게임 토너먼트 대회나 보드게임카페 등 다양한 이벤트도 하고 있습니다.""",
활동,B_OG,팔레트 활동내용 알려줘,팔레트 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,핀액션 활동내용 알려줘,핀액션 활동은 카카오톡으로 문의하여주시기 바랍니다. :) 카카오톡 아이디 : awh9974,
활동,B_OG,에이스 활동내용 알려줘,에이스 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),
활동,B_OG,스핀 SPIN 활동내용 알려줘,"""스핀 SPIN 활동은 5:5 3:3 경기와 타대학 농구동아리들과 교류전, 기본기 연습 등을 진행합니다. 대학교 동아리 대회도 참여하고 있습니다.""",
활동,B_OG,RCY 활동내용 알려줘,"""RCY는 부원분들의 의견을 최대한 반영하여 운영되어질 예정입니다. RCY에서 봉사활동을 하며 봉사 시간도 얻고 뜻깊은 경험과 좋은 인연도 얻어가세요. RCY 모집 공고는 매년 강릉원주대학교 에브리타임에서 공지되고 있습니다.""",
활동,B_OG,게임 개발 동아리 활동내용 알려줘,게임 개발 동아리는 게임을 개발하고 출시합니다.,
생성,B_TYP,중앙동아리 만드는법 알려줘,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj90u,
생성,,동아리 어떻게 만들어?,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj91u,
생성,,동아리 생성,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj92u,
생성,,동아리 만들고싶어,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj93u,
생성,,동아리 만들려면 어떻게 해야해?,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj94u,
생성,,동아리 만드려면 어떻게 해야돼?,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj95u,
생성,,도아리 만드는법,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj96u,
생성,,도아리 생성하는법,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj97u,
생성,,동아리 생성하는법 알려줘,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj98u,
생성,,동아리 만들기,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj99u,
생성,,도아리 만들고싶어,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj100u,
생성,B_OG,취동 생성,취업동아리 관련 안내 링크입니다. :) https://www.gwnu.ac.kr/kr/7897/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa3IlMkYxNjEzJTJGMjU4MjEzJTJGYXJ0Y2xWaWV4LmRvJTNG,
생성,B_OG,취동 만들기,취업동아리 관련 안내 링크입니다. :) https://www.gwnu.ac.kr/kr/7897/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa3IlMkYxNjEzJTJGMjU4MjEzJTJGYXJ0Y2xWaWV5LmRvJTNG,
생성,,동아리 만들고싶어,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj101u,
생성,,동아리 생성하는법 알려줘,동아리 생성 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj102u,
생성,B_TYP,중앙동아리 되는 법 알려줘,중앙동아리 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj90u,
회비,B_OG,CCC 회비 얼만지 알려줘,CCC 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,JDM 회비 얼만지 알려줘,JDM 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,ccc 회비 얼만지 알려줘,CCC 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,jdm 회비 얼만지 알려줘,JDM 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,E.G.O 회비 얼만지 알려줘,E.G.O 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,EGO 회비 얼만지 알려줘,E.G.O 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,ego 회비 얼만지 알려줘,E.G.O 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,OST 회비 얼만지 알려줘,OST 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,ost 회비 얼만지 알려줘,OST 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,페르마타 회비 얼만지 알려줘,페르마타 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,뉴를리 회비 얼만지 알려줘,뉴를리 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,프레이즈 회비 얼만지 알려줘,프레이즈 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,루시우스 회비 얼만지 알려줘,루시우스 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,Tag the bills 회비 얼만지 알려줘,Tag the bills 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,Tagthebills 회비 얼만지 알려줘,Tag the bills 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,tagthebills 회비 얼만지 알려줘,Tag the bills 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,해시태그 회비 얼만지 알려줘,해시태그 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,보드홀릭 회비 얼만지 알려줘,보드홀릭 동아리 회비는 학기당 8000원 입니다.,
회비,B_OG,팔레트 회비 얼만지 알려줘,팔레트 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,핀액션 회비 얼만지 알려줘,핀액션 동아리 회비는 학기당 5000원 입니다.,
회비,B_OG,에이스 회비 얼만지 알려줘,에이스 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,스핀 SPIN 회비 얼만지 알려줘,스핀 SPIN 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,spin 회비 얼만지 알려줘,스핀 SPIN 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,SPIN 회비 얼만지 알려줘,스핀 SPIN 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,Spin 회비 얼만지 알려줘,스핀 SPIN 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,스핀 회비 얼만지 알려줘,스핀 SPIN 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,RCY 회비 얼만지 알려줘,RCY 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,rcy 회비 얼만지 알려줘,RCY 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,게임 개발 동아리 회비 얼만지 알려줘,게임 개발 동아리 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,게임개발동아리 회비 얼만지 알려줘,게임 개발 동아리 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,게임개발 동아리 회비 얼만지 알려줘,게임 개발 동아리 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,게임 개발동아리 회비 얼만지 알려줘,게임 개발 동아리 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,
회비,B_OG,취업동아리 회비 얼만지 알려줘,취업동아리는 회비가 없습니다.,
회비,B_OG,학습동아리 회비 얼만지 알려줘,학습동아리는 회비가 없습니다.,
회비,B_OG,창업동아리 회비 얼만지 알려줘,창업동아리는 회비가 없습니다.,
분류,B_OG,강릉원주대학교 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,릉주대학교 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,강릉원주대학교 원주캠퍼스 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,릉주대 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,릉주대 원캠 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,강릉원주대학교 원캠 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,릉주대 원주캠퍼스 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,강릉원주대학교 원주캠 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_OG,릉주대 원주캠 동아리 분류 알려줘,"강릉원주대학교 원주캠퍼스에는 중앙동아리, 가등록동아리, 취업동아리, 학습동아리, 창업동아리 등이 있습니다.",
분류,B_TYP,CCC 동아리가 중앙동아리인지 가동아리인지 알려줘,CCC는 중앙동아리입니다,
분류,B_TYP,JDM 동아리가 중앙동아리인지 가동아리인지 알려줘,JDM은 중앙동아리입니다,
분류,B_TYP,ccc 동아리가 중앙동아리인지 가동아리인지 알려줘,CCC는 중앙동아리입니다,
분류,B_TYP,jdm 동아리가 중앙동아리인지 가동아리인지 알려줘,JDM은 중앙동아리입니다,
분류,B_TYP,E.G.O 동아리가 중앙동아리인지 가동아리인지 알려줘,E.G.O는 중앙동아리입니다,
분류,B_TYP,EGO 동아리가 중앙동아리인지 가동아리인지 알려줘,E.G.O는 중앙동아리입니다,
분류,B_TYP,ego 동아리가 중앙동아리인지 가동아리인지 알려줘,E.G.O는 중앙동아리입니다,
분류,B_TYP,OST 동아리가 중앙동아리인지 가동아리인지 알려줘,OST는 중앙동아리입니다,
분류,B_TYP,ost 동아리가 중앙동아리인지 가동아리인지 알려줘,OST는 중앙동아리입니다,
분류,B_TYP,페르마타 동아리가 중앙동아리인지 가동아리인지 알려줘,페르마타는 중앙동아리입니다,
분류,B_TYP,뉴를리 동아리가 중앙동아리인지 가동아리인지 알려줘,뉴를리는 중앙동아리입니다,
분류,B_TYP,프레이즈 동아리가 중앙동아리인지 가동아리인지 알려줘,프레이즈는 중앙동아리입니다,
분류,B_TYP,루시우스 동아리가 중앙동아리인지 가동아리인지 알려줘,루시우스는 중앙동아리입니다,
분류,B_TYP,Tag the bills 동아리가 중앙동아리인지 가동아리인지 알려줘,Tag the bills는 중앙동아리입니다,
분류,B_TYP,Tagthebills 동아리가 중앙동아리인지 가동아리인지 알려줘,Tag the bills는 중앙동아리입니다,
분류,B_TYP,tagthebills 동아리가 중앙동아리인지 가동아리인지 알려줘,Tag the bills는 중앙동아리입니다,
분류,B_TYP,해시태그 동아리가 중앙동아리인지 가동아리인지 알려줘,해시태그는 중앙동아리입니다,
분류,B_TYP,보드홀릭 동아리가 중앙동아리인지 가동아리인지 알려줘,보드홀릭은 중앙동아리입니다,
분류,B_TYP,팔레트 동아리가 중앙동아리인지 가동아리인지 알려줘,팔레트는 중앙동아리입니다,
분류,B_TYP,핀액션 동아리가 중앙동아리인지 가동아리인지 알려줘,핀액션은 중앙동아리입니다,
분류,B_TYP,에이스 동아리가 중앙동아리인지 가동아리인지 알려줘,에이스는 중앙동아리입니다,
분류,B_TYP,스핀 SPIN 동아리가 중앙동아리인지 가동아리인지 알려줘,스핀 SPIN은 중앙동아리입니다,
분류,B_TYP,spin 동아리가 중앙동아리인지 가동아리인지 알려줘,스핀 SPIN은 중앙동아리입니다,
분류,B_TYP,SPIN 동아리가 중앙동아리인지 가동아리인지 알려줘,스핀 SPIN은 중앙동아리입니다,
분류,B_TYP,Spin 동아리가 중앙동아리인지 가동아리인지 알려줘,스핀 SPIN은 중앙동아리입니다,
분류,B_TYP,스핀 동아리가 중앙동아리인지 가동아리인지 알려줘,스핀 SPIN은 중앙동아리입니다,
분류,B_TYP,RCY 동아리가 중앙동아리인지 가동아리인지 알려줘,RCY는 중앙동아리입니다,
분류,B_TYP,rcy 동아리가 중앙동아리인지 가동아리인지 알려줘,RCY는 중앙동아리입니다,
분류,B_TYP,게임 개발 동아리 동아리가 중앙동아리인지 가동아리인지 알려줘,게임 개발 동아리는 중앙동아리입니다,
분류,B_TYP,게임개발동아리 동아리가 중앙동아리인지 가동아리인지 알려줘,게임 개발 동아리는 중앙동아리입니다,
분류,B_TYP,게임개발 동아리 동아리가 중앙동아리인지 가동아리인지 알려줘,게임 개발 동아리는 중앙동아리입니다,
분류,B_TYP,게임 개발동아리 동아리가 중앙동아리인지 가동아리인지 알려줘,게임 개발 동아리는 중앙동아리입니다,
